Time (ms),Trajectory 1
2617,0.000544203775158773
2633,0.000239762642498439
2650,-0.000221946810294564
2667,-0.00077725198934786
2683,-0.00125588020697857
2700,-0.00148087580843518
2717,-0.00136953429318964
2733,-0.000964836683124304
2750,-0.000393062781464929
2767,0.000198550512626146
2783,0.000683265883708373
2800,0.000980810747326662
2817,0.00107649407194306
2833,0.00102241775797059
2850,0.00090195380228882
2867,0.000763416251478096
2883,0.000577941517500828
2900,0.000275319825353411
2917,-0.000161780417935612
2933,-0.000629991258999022
2950,-0.000937637640163302
2967,-0.00092521453431497
2983,-0.000575293584915926
3000,-2.01195671252208E-05
3017,0.000549437078613361
3033,0.000984577791920553
3050,0.00121574251291653
3067,0.00123411564466854
3083,0.00106354055848594
3100,0.00075232680925789
3117,0.00037873682473825
3133,3.93226716065935E-05
3150,-0.000201043477621473
3167,-0.000371545528954205
3183,-0.000587679397237177
3200,-0.000928805714162687
3217,-0.00130189947473506
3233,-0.00144941355877866
3250,-0.00112565751381529
3267,-0.000297819099311406
3283,0.000793705820494021
3300,0.00175290688639507
3317,0.00223728253816565
3333,0.00212693796493113
3350,0.00154436668769146
3367,0.000728216711043691
3383,-0.000116254387345786
3400,-0.000869508027487124
3417,-0.00146078456115598
3433,-0.00184390829720845
3450,-0.00200870171344529
3467,-0.00196221754110108
3483,-0.00168612436391413
3500,-0.00115192075221178
3517,-0.000396877488431831
3533,0.000434580453050633
3550,0.00114614659105428
3567,0.00159726877852033
3583,0.00176617933902889
3600,0.00171757326461375
3617,0.00151909429890414
3633,0.00120794615941122
3650,0.000844781044482564
3667,0.000565092215159287
3683,0.000518533556411664
3700,0.000713375154494618
3717,0.000923217778714995
3733,0.000781723802598814
3750,1.59114521617691E-05
3767,-0.00134841344940166
3783,-0.00295163368961463
3800,-0.00425565514403085
3817,-0.00480954612915715
3833,-0.00448868547876676
3850,-0.00352652044966817
3867,-0.0022873057362934
3883,-0.00100082745969606
3900,0.000261685219205295
3917,0.00140459077859608
3933,0.00222821968297164
3950,0.00256884687890609
3967,0.00244920995707313
3983,0.00206556908475856
4000,0.00166136317420751
4017,0.00141117419116199
4033,0.00136927658847223
4050,0.00147721757336209
4067,0.00160367922702183
4083,0.00159503507893533
4100,0.0013365446551082
4117,0.000800312996337501
4133,3.93658944328005E-05
4150,-0.000839559676630112
4167,-0.00166062252052749
4183,-0.00217888341285288
4200,-0.00220013095531613
4217,-0.00173446970681349
4233,-0.000987587773124687
4250,-0.000189886957135362
4267,0.000532987697321611
4283,0.00113693467574194
4300,0.00157874810975045
4317,0.00179382995702326
4333,0.0017381413684537
4350,0.00143710364742825
4367,0.000994749289626877
4383,0.000556394409310694
4400,0.000246746826936336
4417,9.6042448907004E-05
4433,-2.5345383619424E-05
4450,-0.000371292199512633
4467,-0.0011216148219925
4483,-0.00216196912030379
4500,-0.00307459066001078
4517,-0.00339578216274579
4533,-0.00293939389909307
4550,-0.00190614449093118
4567,-0.000694963285544266
4583,0.000383763011389722
4600,0.00122189366569122
